Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6),year
8318,0.07,0.0,0.0,0.13,76.12,0.08,0.98,2,0.0,2008
31788,0.16,0.0,0.01,0.33,86.71,0.18,1.42,3,0.01,2008
30964,0.32,0.01,0.08,0.59,87.64,0.45,2.39,4,0.04,2008
47940,0.5,0.04,0.33,0.75,86.95,1.01,3.64,5,0.14,2008
32595,0.65,0.1,0.89,0.96,82.06,1.96,5.0,6,0.32,2008
49289,0.61,0.14,1.57,0.9,70.54,2.84,5.78,7,0.52,2008
33687,0.55,0.18,2.33,0.96,60.25,3.73,6.35,8,0.67,2008
33012,0.47,0.2,2.82,0.97,52.81,4.19,6.27,9,0.7,2008
33887,0.38,0.19,2.7,0.84,42.81,3.83,5.8,10,0.57,2008
34825,0.26,0.13,1.95,0.61,27.54,2.69,4.94,11,0.34,2008
51889,0.13,0.07,0.99,0.29,13.33,1.35,4.04,12,0.16,2008
35105,0.06,0.03,0.45,0.13,5.23,0.6,3.4,13,0.06,2008
35076,0.02,0.01,0.17,0.05,1.88,0.23,2.73,14,0.02,2008
49888,0.01,0.0,0.07,0.02,0.81,0.09,2.2,15,0.01,2008
30720,0.0,0.0,0.05,0.01,0.46,0.06,2.14,16,0.01,2008
28254,0.0,0.0,0.05,0.01,0.35,0.05,2.1,17,0.0,2008
24322,0.0,0.0,0.05,0.01,0.32,0.06,2.07,18,0.0,2008
510,0.0,0.01,0.06,0.01,0.45,0.08,2.1,19,0.01,2008
29,0.0,0.0,0.03,0.07,0.93,0.03,0.5,20,,2008
8654,0.07,0.0,0.0,0.13,75.91,0.08,1.01,2,0.0,2009
35954,0.17,0.0,0.01,0.35,86.61,0.19,1.52,3,0.01,2009
33488,0.34,0.01,0.08,0.66,87.65,0.47,2.44,4,0.04,2009
51074,0.45,0.03,0.28,0.81,87.11,0.9,3.46,5,0.13,2009
35591,0.61,0.08,0.77,1.04,82.18,1.78,4.9,6,0.31,2009
51903,0.58,0.13,1.41,1.02,70.83,2.61,5.64,7,0.48,2009
36063,0.53,0.18,2.22,1.11,60.25,3.62,6.31,8,0.69,2009
37030,0.46,0.19,2.59,1.1,53.11,3.95,6.23,9,0.7,2009
37279,0.37,0.17,2.5,0.96,42.58,3.59,5.62,10,0.55,2009
37138,0.25,0.13,1.8,0.67,27.7,2.55,4.91,11,0.36,2009
55118,0.14,0.07,0.94,0.33,13.32,1.3,3.93,12,0.16,2009
36166,0.06,0.03,0.39,0.14,5.24,0.55,3.25,13,0.08,2009
36741,0.02,0.01,0.15,0.05,1.81,0.21,2.62,14,0.03,2009
53623,0.01,0.0,0.07,0.02,0.78,0.09,2.27,15,0.01,2009
31957,0.0,0.0,0.05,0.01,0.44,0.06,2.14,16,0.01,2009
31433,0.0,0.0,0.05,0.01,0.35,0.06,2.05,17,0.01,2009
26980,0.0,0.0,0.05,0.01,0.31,0.06,2.18,18,0.0,2009
458,0.0,0.0,0.06,0.01,0.39,0.08,2.87,19,0.01,2009
19,0.0,0.0,0.0,0.0,1.05,0.0,0.0,20,,2009
8526,0.06,0.0,0.0,0.1,75.77,0.06,0.88,2,0.0,2010
35060,0.15,0.0,0.01,0.33,86.71,0.17,1.4,3,0.01,2010
33073,0.33,0.01,0.08,0.67,87.65,0.46,2.47,4,0.05,2010
51827,0.43,0.03,0.28,0.85,87.13,0.87,3.32,5,0.13,2010
34945,0.52,0.07,0.7,1.04,82.17,1.57,4.57,6,0.27,2010
53825,0.54,0.12,1.24,1.04,71.12,2.36,5.47,7,0.47,2010
34918,0.5,0.16,2.0,1.18,60.43,3.29,6.08,8,0.62,2010
35331,0.44,0.19,2.51,1.23,53.07,3.84,6.17,9,0.7,2010
36100,0.35,0.16,2.36,1.06,42.77,3.41,5.59,10,0.54,2010
35945,0.24,0.12,1.67,0.73,27.09,2.37,4.69,11,0.33,2010
54592,0.13,0.07,0.87,0.35,13.61,1.24,3.86,12,0.17,2010
34167,0.05,0.03,0.37,0.15,5.13,0.52,3.15,13,0.07,2010
34607,0.02,0.01,0.14,0.06,1.92,0.21,2.54,14,0.03,2010
55010,0.01,0.0,0.07,0.02,0.79,0.09,2.2,15,0.01,2010
32948,0.0,0.0,0.05,0.01,0.45,0.06,2.15,16,0.01,2010
31031,0.0,0.0,0.04,0.01,0.34,0.05,2.11,17,0.01,2010
26748,0.0,0.0,0.04,0.01,0.3,0.05,2.08,18,0.0,2010
470,0.01,0.0,0.05,0.0,0.63,0.06,1.49,19,,2010
24,0.0,0.0,0.42,0.04,1.25,0.42,3.28,20,,2010
9002,0.07,0.0,0.0,0.12,75.63,0.07,0.9,2,0.0,2011
36526,0.13,0.0,0.01,0.31,86.81,0.15,1.36,3,0.01,2011
32752,0.29,0.01,0.07,0.68,87.7,0.43,2.35,4,0.06,2011
51404,0.44,0.03,0.26,0.88,87.13,0.86,3.44,5,0.13,2011
35631,0.53,0.07,0.66,1.08,82.11,1.56,4.67,6,0.3,2011
52198,0.51,0.1,1.13,1.07,70.99,2.19,5.32,7,0.44,2011
35441,0.46,0.14,1.8,1.17,60.36,3.03,5.98,8,0.62,2011
35910,0.4,0.17,2.25,1.26,53.23,3.44,5.85,9,0.61,2011
35795,0.33,0.15,2.21,1.08,42.79,3.23,5.41,10,0.53,2011
36155,0.23,0.11,1.54,0.75,27.37,2.19,4.61,11,0.32,2011
52399,0.12,0.06,0.81,0.37,13.3,1.14,3.71,12,0.16,2011
34725,0.05,0.03,0.35,0.16,5.38,0.5,3.01,13,0.07,2011
35450,0.02,0.01,0.14,0.06,1.88,0.2,2.44,14,0.03,2011
50835,0.01,0.0,0.06,0.02,0.78,0.08,2.0,15,0.01,2011
31934,0.0,0.0,0.04,0.01,0.43,0.06,2.06,16,0.01,2011
34593,0.0,0.0,0.04,0.01,0.33,0.05,2.14,17,0.0,2011
27695,0.0,0.0,0.05,0.01,0.3,0.06,2.66,18,0.01,2011
1112,0.0,0.0,0.04,0.01,0.26,0.04,1.63,19,,2011
22,0.0,0.0,0.0,0.0,1.64,0.0,0.0,20,,2011
9233,0.05,0.0,0.0,0.1,74.94,0.05,0.78,2,0.0,2012
36333,0.13,0.0,0.01,0.32,86.8,0.15,1.31,3,0.01,2012
35318,0.29,0.01,0.05,0.61,87.67,0.4,2.36,4,0.05,2012
50604,0.43,0.03,0.24,0.85,87.1,0.84,3.43,5,0.14,2012
36809,0.55,0.07,0.62,1.08,81.98,1.52,4.61,6,0.29,2012
51794,0.49,0.1,1.07,1.09,70.76,2.08,5.13,7,0.42,2012
37134,0.47,0.13,1.63,1.22,60.13,2.83,5.8,8,0.6,2012
35199,0.41,0.15,2.08,1.24,53.25,3.26,5.81,9,0.62,2012
35590,0.33,0.14,2.0,1.14,42.88,2.97,5.27,10,0.5,2012
