Antal personer,gns antal karierede primært flader (1),gns antal karierede sekundært flader (2),gns antal fyldte flader (4+5),gns antal flader u. kav (0),gns antal frembrudte flader (FL),def-s/DMF-S,SD (def-s/DMF-S),Alder,gns ekstraherede flader pga. karies (6)
5429,"0,11","0,00","0,00","0,15","73,81","0,11","1,34",2,"0,00"
24210,"0,23","0,00","0,01","0,40","87,05","0,26","1,74",3,"0,02"
18561,"0,43","0,01","0,07","0,81","87,66","0,57","2,73",4,"0,06"
33461,"0,60","0,03","0,21","1,03","86,74","0,97","3,54",5,"0,14"
19644,"0,80","0,06","0,55","1,41","80,59","1,75","5,02",6,"0,35"
35114,"0,65","0,09","0,86","1,30","68,98","2,04","5,06",7,"0,45"
20797,"0,58","0,13","1,27","1,49","59,48","2,53","5,34",8,"0,54"
21722,"0,48","0,13","1,42","1,43","52,16","2,51","4,97",9,"0,49"
23905,"0,35","0,10","1,24","1,20","41,31","2,02","4,28",10,"0,33"
22907,"0,24","0,08","0,88","0,84","26,53","1,42","3,65",11,"0,21"
41166,"0,11","0,03","0,37","0,37","12,36","0,62","2,78",12,"0,10"
21079,"0,05","0,02","0,18","0,17","5,11","0,29","2,33",13,"0,05"
22524,"0,02","0,01","0,06","0,06","1,84","0,11","1,91",14,"0,02"
37311,"0,01","0,00","0,03","0,02","0,69","0,05","1,69",15,"0,01"
19801,"0,00","0,00","0,03","0,01","0,46","0,04","1,62",16,"0,01"
24119,"0,00","0,00","0,02","0,01","0,35","0,03","1,78",17,"0,01"
30484,"0,00","0,00","0,02","0,01","0,29","0,03","1,87",18,"0,00"
137,"0,01","0,00","0,00","0,00","0,15","0,01","0,47",19,
23,"0,00","0,00","0,00","0,00","2,22","0,43","4,33",20,"0,43"
