Opgørelsesår,Kommune,Fødselsårgang,Køn,Antal børn,Gennemsnitlig højde i cm,Gennemsnitlig vægt i gram,Procentdel undervægt,Procentdel normalvægt,Procentdel moderat overvægt,Procentdel svær overvægt,urban_rural
2014,Aabenraa,1998.0,Begge,662,170.6510574018127,61903.32326283988,2.416918429003021,76.28398791540786,17.220543806646525,4.078549848942599,Rural
2015,Aabenraa,1999.0,Begge,678,170.60176991150442,63301.76991150442,1.7699115044247788,73.45132743362832,19.321533923303836,5.457227138643068,Rural
2016,Aabenraa,2000.0,Begge,768,170.82161458333334,63122.65625,1.0416666666666665,76.5625,16.276041666666664,6.119791666666666,Rural
2017,Aabenraa,2001.0,Begge,661,170.42813918305598,62801.96671709531,1.6641452344931922,73.67624810892586,19.213313161875945,5.446293494704992,Rural
2018,Aabenraa,2002.0,Begge,694,168.9121037463977,60679.538904899135,2.4495677233429394,75.36023054755043,17.86743515850144,4.322766570605188,Rural
2019,Aabenraa,2003.0,Begge,666,169.34534534534535,61027.92792792793,1.6516516516516515,76.42642642642643,16.216216216216218,5.7057057057057055,Rural
2020,Aabenraa,2004.0,Begge,700,168.12571428571428,61023.0,1.7142857142857144,73.14285714285714,18.571428571428573,6.571428571428571,Rural
2021,Aabenraa,2005.0,Begge,679,169.01472754050073,60810.898379970546,1.3254786450662739,75.55228276877762,17.673048600883654,5.44918998527246,Rural
2022,Aabenraa,2006.0,Begge,607,170.37561779242174,61639.04448105436,2.800658978583196,74.2998352553542,17.298187808896213,5.601317957166392,Rural
2023,Aabenraa,2007.0,Begge,600,169.155,60142.0,2.5,76,17.0,4.5,Rural
2024,Aabenraa,2008.0,Begge,618,170.05501618122977,61302.588996763756,1.4563106796116505,76.53721682847896,17.313915857605178,4.692556634304207,Rural
2025,Aabenraa,2009.0,Begge,638,170.38244514106583,62164.576802507836,1.2539184952978055,74.76489028213166,18.96551724137931,5.015673981191222,Rural
2014,Aabenraa,1998.0,Kvinde,340,165.80588235294118,58589.41176470588,2.3529411764705883,76.47058823529412,17.941176470588236,3.2352941176470593,Rural
2015,Aabenraa,1999.0,Kvinde,332,166.2289156626506,61150.60240963855,1.5060240963855422,72.28915662650603,20.180722891566266,6.024096385542169,Rural
2016,Aabenraa,2000.0,Kvinde,356,166.39606741573033,60157.86516853933,0.5617977528089888,78.08988764044943,16.573033707865168,4.775280898876404,Rural
2017,Aabenraa,2001.0,Kvinde,327,165.86238532110093,60146.17737003058,1.2232415902140672,75.22935779816514,18.04281345565749,5.5045871559633035,Rural
2018,Aabenraa,2002.0,Kvinde,339,164.6401179941003,58589.38053097345,2.359882005899705,75.22123893805309,17.699115044247787,4.71976401179941,Rural
