AarID,Målvariabel,tand_status_text
2012,"0,79",Mælketænder
2011,"0,72",Mælketænder
2008,"0,69",Permanente
2016,"0,69",Mælketænder
2013,"0,67",Mælketænder
2014,"0,67",Mælketænder
2009,"0,66",Permanente
2010,"0,66",Permanente
2018,"0,64",Mælketænder
2020,"0,63",Mælketænder
2017,"0,62",Mælketænder
2025,"0,60",Mælketænder
2025,"0,59",Permanente
2014,"0,59",Permanente
2019,"0,58",Mælketænder
2015,"0,57",Mælketænder
2008,"0,55",Mælketænder
2024,"0,53",Mælketænder
2022,"0,52",Mælketænder
2016,"0,52",Permanente
2012,"0,52",Permanente
2011,"0,51",Permanente
2021,"0,50",Mælketænder
2015,"0,50",Permanente
2023,"0,50",Mælketænder
2024,"0,50",Permanente
2022,"0,50",Permanente
2020,"0,50",Permanente
2013,"0,49",Permanente
2018,"0,49",Permanente
2019,"0,47",Permanente
2017,"0,45",Permanente
2010,"0,44",Mælketænder
2023,"0,43",Permanente
2009,"0,42",Mælketænder
2021,"0,41",Permanente
