AarID,Målvariabel,tand_status_text
2008,"1,35",Mælketænder
2010,"1,32",Mælketænder
2011,"1,30",Mælketænder
2009,"1,25",Mælketænder
2023,"1,21",Mælketænder
2012,"1,12",Mælketænder
2022,"1,11",Mælketænder
2024,"1,09",Mælketænder
2014,"1,07",Mælketænder
2025,"1,06",Mælketænder
2013,"1,06",Mælketænder
2016,"1,04",Mælketænder
2018,"1,03",Mælketænder
2017,"1,03",Mælketænder
2019,"1,01",Mælketænder
2020,"1,00",Mælketænder
2015,"0,99",Mælketænder
2021,"0,88",Mælketænder
2025,"0,86",Permanente
2008,"0,78",Permanente
2009,"0,76",Permanente
2024,"0,65",Permanente
2010,"0,44",Permanente
2011,"0,40",Permanente
2012,"0,39",Permanente
2023,"0,39",Permanente
2014,"0,35",Permanente
2015,"0,35",Permanente
2013,"0,33",Permanente
2016,"0,31",Permanente
2017,"0,29",Permanente
2018,"0,29",Permanente
2019,"0,28",Permanente
2022,"0,28",Permanente
2021,"0,26",Permanente
2020,"0,25",Permanente
