AarID,Målvariabel,tand_status_text
2008,"1,31",Mælketænder
2009,"1,18",Mælketænder
2010,"1,15",Mælketænder
2017,"1,09",Mælketænder
2015,"1,09",Mælketænder
2016,"1,03",Mælketænder
2011,"1,02",Mælketænder
2014,"1,01",Mælketænder
2012,"1,01",Mælketænder
2013,"0,98",Mælketænder
2020,"0,95",Mælketænder
2018,"0,95",Mælketænder
2019,"0,84",Mælketænder
2023,"0,82",Mælketænder
2022,"0,80",Mælketænder
2021,"0,75",Mælketænder
2024,"0,73",Mælketænder
2025,"0,69",Mælketænder
2009,"0,62",Permanente
2010,"0,60",Permanente
2011,"0,60",Permanente
2025,"0,58",Permanente
2008,"0,55",Permanente
2012,"0,55",Permanente
2024,"0,54",Permanente
2014,"0,51",Permanente
2013,"0,51",Permanente
2016,"0,49",Permanente
2015,"0,45",Permanente
2023,"0,44",Permanente
2022,"0,39",Permanente
2017,"0,39",Permanente
2018,"0,37",Permanente
2020,"0,36",Permanente
2021,"0,31",Permanente
2019,"0,29",Permanente
