AarID,Målvariabel,tand_status_text
2008,"1,60",Mælketænder
2009,"1,51",Mælketænder
2009,"1,38",Permanente
2008,"1,35",Permanente
2010,"1,35",Mælketænder
2024,"1,28",Mælketænder
2023,"1,27",Mælketænder
2025,"1,23",Mælketænder
2011,"1,22",Mælketænder
2010,"1,13",Permanente
2022,"1,12",Mælketænder
2011,"1,08",Permanente
2012,"1,08",Mælketænder
2013,"1,08",Mælketænder
2012,"1,00",Permanente
2015,"0,98",Mælketænder
2017,"0,94",Mælketænder
2021,"0,94",Mælketænder
2020,"0,94",Mælketænder
2019,"0,93",Mælketænder
2016,"0,93",Mælketænder
2014,"0,92",Mælketænder
2025,"0,92",Permanente
2013,"0,81",Permanente
2014,"0,77",Permanente
2018,"0,72",Mælketænder
2015,"0,72",Permanente
2024,"0,69",Permanente
2016,"0,66",Permanente
2017,"0,56",Permanente
2023,"0,53",Permanente
2018,"0,49",Permanente
2019,"0,44",Permanente
2020,"0,44",Permanente
2022,"0,43",Permanente
2021,"0,39",Permanente
