AarID,Målvariabel,tand_status_text
2020,"0,82",Mælketænder
2008,"0,71",Mælketænder
2014,"0,66",Mælketænder
2023,"0,63",Mælketænder
2024,"0,61",Mælketænder
2011,"0,61",Mælketænder
2016,"0,59",Mælketænder
2009,"0,59",Mælketænder
2010,"0,59",Mælketænder
2025,"0,54",Mælketænder
2009,"0,50",Permanente
2015,"0,49",Mælketænder
2017,"0,49",Mælketænder
2013,"0,48",Mælketænder
2021,"0,47",Mælketænder
2020,"0,46",Permanente
2010,"0,44",Permanente
2012,"0,43",Mælketænder
2018,"0,41",Mælketænder
2023,"0,39",Permanente
2019,"0,37",Mælketænder
2008,"0,34",Permanente
2012,"0,34",Permanente
2013,"0,33",Permanente
2021,"0,33",Permanente
2015,"0,33",Permanente
2025,"0,33",Permanente
2024,"0,32",Permanente
2022,"0,29",Mælketænder
2011,"0,29",Permanente
2016,"0,29",Permanente
2022,"0,29",Permanente
2019,"0,28",Permanente
2018,"0,27",Permanente
2017,"0,25",Permanente
2014,"0,21",Permanente
