AarID,Målvariabel,tand_status_text
2008,"0,83",Mælketænder
2008,"0,79",Permanente
2010,"0,73",Mælketænder
2020,"0,72",Mælketænder
2017,"0,72",Mælketænder
2022,"0,70",Mælketænder
2009,"0,69",Mælketænder
2018,"0,67",Mælketænder
2012,"0,67",Mælketænder
2011,"0,67",Mælketænder
2020,"0,66",Permanente
2019,"0,65",Mælketænder
2025,"0,65",Permanente
2024,"0,65",Permanente
2018,"0,64",Permanente
2023,"0,62",Permanente
2021,"0,62",Mælketænder
2025,"0,62",Mælketænder
2023,"0,62",Mælketænder
2009,"0,62",Permanente
2022,"0,61",Permanente
2019,"0,60",Permanente
2013,"0,59",Mælketænder
2024,"0,59",Mælketænder
2021,"0,57",Permanente
2017,"0,56",Permanente
2012,"0,53",Permanente
2010,"0,53",Permanente
2015,"0,51",Mælketænder
2013,"0,51",Permanente
2014,"0,51",Mælketænder
2016,"0,50",Mælketænder
2015,"0,48",Permanente
2011,"0,46",Permanente
2014,"0,45",Permanente
2016,"0,44",Permanente
