AarID,Målvariabel,tand_status_text
2009,"1,24",Mælketænder
2011,"1,10",Mælketænder
2008,"1,06",Mælketænder
2010,"1,06",Mælketænder
2008,"0,98",Permanente
2018,"0,95",Mælketænder
2022,"0,95",Mælketænder
2017,"0,94",Mælketænder
2016,"0,94",Mælketænder
2019,"0,94",Mælketænder
2015,"0,90",Mælketænder
2020,"0,89",Mælketænder
2025,"0,88",Mælketænder
2012,"0,87",Mælketænder
2013,"0,86",Mælketænder
2010,"0,80",Permanente
2021,"0,79",Mælketænder
2014,"0,79",Mælketænder
2025,"0,79",Permanente
2023,"0,78",Mælketænder
2011,"0,73",Permanente
2024,"0,72",Mælketænder
2009,"0,71",Permanente
2022,"0,70",Permanente
2023,"0,69",Permanente
2024,"0,67",Permanente
2012,"0,66",Permanente
2013,"0,61",Permanente
2020,"0,61",Permanente
2021,"0,60",Permanente
2018,"0,59",Permanente
2019,"0,58",Permanente
2016,"0,57",Permanente
2015,"0,55",Permanente
2017,"0,52",Permanente
2014,"0,52",Permanente
