AarID,Målvariabel,tand_status_text
2008,"1,34",Mælketænder
2009,"1,21",Mælketænder
2010,"1,11",Mælketænder
2011,"1,02",Mælketænder
2012,"0,94",Mælketænder
2013,"0,87",Mælketænder
2020,"0,84",Mælketænder
2014,"0,81",Mælketænder
2017,"0,78",Mælketænder
2018,"0,75",Mælketænder
2016,"0,75",Mælketænder
2008,"0,75",Permanente
2015,"0,74",Mælketænder
2009,"0,70",Permanente
2019,"0,69",Mælketænder
2023,"0,65",Mælketænder
2021,"0,64",Mælketænder
2010,"0,64",Permanente
2022,"0,63",Mælketænder
2024,"0,63",Mælketænder
2025,"0,61",Permanente
2011,"0,60",Permanente
2025,"0,57",Mælketænder
2012,"0,56",Permanente
2024,"0,53",Permanente
2014,"0,52",Permanente
2020,"0,51",Permanente
2013,"0,47",Permanente
2023,"0,46",Permanente
2016,"0,45",Permanente
2015,"0,44",Permanente
2022,"0,43",Permanente
2017,"0,43",Permanente
2019,"0,43",Permanente
2018,"0,42",Permanente
2021,"0,41",Permanente
