AarID,Målvariabel,tand_status_text
2008,"2,67",Permanente
2011,"2,34",Mælketænder
2011,"1,70",Permanente
2009,"1,36",Mælketænder
2008,"1,33",Mælketænder
2013,"1,09",Mælketænder
2010,"1,07",Permanente
2010,"1,02",Mælketænder
2009,"0,93",Permanente
2012,"0,92",Mælketænder
2015,"0,84",Mælketænder
2015,"0,82",Permanente
2016,"0,80",Mælketænder
2018,"0,79",Mælketænder
2025,"0,78",Permanente
2020,"0,77",Mælketænder
2012,"0,77",Permanente
2017,"0,74",Mælketænder
2014,"0,71",Mælketænder
2014,"0,70",Permanente
2019,"0,70",Mælketænder
2024,"0,69",Permanente
2016,"0,69",Permanente
2018,"0,69",Permanente
2020,"0,68",Permanente
2021,"0,67",Mælketænder
2024,"0,66",Mælketænder
2019,"0,65",Permanente
2022,"0,64",Mælketænder
2017,"0,63",Permanente
2021,"0,61",Permanente
2023,"0,58",Permanente
2022,"0,57",Permanente
2023,"0,55",Mælketænder
2025,"0,54",Mælketænder
2013,"0,49",Permanente
