AarID,Målvariabel,tand_status_text
2008,"1,08",Mælketænder
2009,"1,06",Mælketænder
2010,"1,04",Mælketænder
2011,"0,87",Mælketænder
2012,"0,80",Mælketænder
2010,"0,72",Permanente
2013,"0,71",Mælketænder
2008,"0,69",Permanente
2020,"0,68",Mælketænder
2014,"0,67",Mælketænder
2009,"0,66",Permanente
2016,"0,61",Mælketænder
2011,"0,59",Permanente
2017,"0,59",Mælketænder
2015,"0,58",Mælketænder
2019,"0,57",Mælketænder
2025,"0,56",Permanente
2012,"0,53",Permanente
2023,"0,52",Mælketænder
2013,"0,51",Permanente
2015,"0,50",Permanente
2014,"0,48",Permanente
2016,"0,48",Permanente
2025,"0,48",Mælketænder
2022,"0,48",Mælketænder
2024,"0,47",Mælketænder
2018,"0,47",Mælketænder
2023,"0,47",Permanente
2024,"0,47",Permanente
2019,"0,45",Permanente
2021,"0,45",Mælketænder
2020,"0,44",Permanente
2018,"0,42",Permanente
2017,"0,42",Permanente
2022,"0,34",Permanente
2021,"0,33",Permanente
