AarID,Målvariabel,tand_status_text
2008,"1,62",Permanente
2008,"1,33",Mælketænder
2009,"0,83",Mælketænder
2011,"0,65",Permanente
2010,"0,62",Mælketænder
2009,"0,59",Permanente
2012,"0,56",Permanente
2013,"0,50",Permanente
2010,"0,47",Permanente
2015,"0,45",Permanente
2014,"0,38",Permanente
2011,"0,38",Mælketænder
2023,"0,38",Mælketænder
2016,"0,37",Permanente
2018,"0,36",Mælketænder
2017,"0,36",Mælketænder
2016,"0,36",Mælketænder
2012,"0,35",Mælketænder
2025,"0,34",Permanente
2024,"0,34",Mælketænder
2023,"0,34",Permanente
2014,"0,33",Mælketænder
2015,"0,33",Mælketænder
2013,"0,33",Mælketænder
2022,"0,33",Mælketænder
2025,"0,33",Mælketænder
2017,"0,32",Permanente
2019,"0,32",Mælketænder
2020,"0,31",Mælketænder
2021,"0,29",Mælketænder
2020,"0,29",Permanente
2018,"0,29",Permanente
2024,"0,29",Permanente
2022,"0,28",Permanente
2019,"0,25",Permanente
2021,"0,24",Permanente
