AarID,Målvariabel,tand_status_text
2010,"1,57",Mælketænder
2009,"1,55",Mælketænder
2011,"1,50",Mælketænder
2012,"1,45",Mælketænder
2008,"1,36",Mælketænder
2011,"1,25",Permanente
2010,"1,24",Permanente
2013,"1,23",Mælketænder
2015,"1,19",Mælketænder
2014,"1,15",Mælketænder
2020,"1,11",Mælketænder
2018,"1,07",Mælketænder
2016,"1,05",Mælketænder
2017,"1,02",Mælketænder
2022,"1,00",Mælketænder
2008,"0,99",Permanente
2019,"0,98",Mælketænder
2023,"0,96",Mælketænder
2025,"0,95",Mælketænder
2021,"0,94",Mælketænder
2013,"0,92",Permanente
2012,"0,91",Permanente
2024,"0,90",Mælketænder
2014,"0,87",Permanente
2009,"0,82",Permanente
2015,"0,75",Permanente
2025,"0,66",Permanente
2016,"0,65",Permanente
2024,"0,62",Permanente
2017,"0,57",Permanente
2018,"0,55",Permanente
2020,"0,55",Permanente
2022,"0,53",Permanente
2019,"0,53",Permanente
2023,"0,50",Permanente
2021,"0,48",Permanente
