AarID,Målvariabel,tand_status_text
2008,"1,10",Mælketænder
2025,"0,98",Mælketænder
2024,"0,96",Mælketænder
2009,"0,90",Mælketænder
2023,"0,88",Mælketænder
2010,"0,82",Mælketænder
2020,"0,81",Mælketænder
2022,"0,77",Mælketænder
2015,"0,76",Mælketænder
2011,"0,73",Mælketænder
2008,"0,71",Permanente
2014,"0,69",Mælketænder
2025,"0,67",Permanente
2016,"0,66",Mælketænder
2012,"0,65",Mælketænder
2013,"0,64",Mælketænder
2021,"0,63",Mælketænder
2017,"0,62",Mælketænder
2009,"0,61",Permanente
2019,"0,57",Mælketænder
2018,"0,57",Mælketænder
2010,"0,57",Permanente
2024,"0,51",Permanente
2011,"0,48",Permanente
2023,"0,43",Permanente
2015,"0,42",Permanente
2012,"0,39",Permanente
2017,"0,39",Permanente
2014,"0,37",Permanente
2013,"0,37",Permanente
2016,"0,37",Permanente
2018,"0,35",Permanente
2022,"0,34",Permanente
2019,"0,33",Permanente
2020,"0,32",Permanente
2021,"0,32",Permanente
