AarID,Målvariabel,tand_status_text
2008,"1,25",Mælketænder
2009,"1,16",Mælketænder
2010,"1,06",Mælketænder
2011,"1,02",Mælketænder
2008,"0,96",Permanente
2015,"0,95",Mælketænder
2014,"0,95",Mælketænder
2009,"0,91",Permanente
2025,"0,89",Permanente
2012,"0,88",Mælketænder
2016,"0,86",Mælketænder
2010,"0,86",Permanente
2017,"0,86",Mælketænder
2013,"0,85",Mælketænder
2012,"0,84",Permanente
2023,"0,83",Mælketænder
2018,"0,81",Mælketænder
2024,"0,80",Permanente
2011,"0,78",Permanente
2020,"0,78",Mælketænder
2023,"0,78",Permanente
2014,"0,77",Permanente
2019,"0,77",Mælketænder
2021,"0,76",Mælketænder
2013,"0,76",Permanente
2015,"0,76",Permanente
2025,"0,75",Mælketænder
2022,"0,71",Permanente
2024,"0,69",Mælketænder
2021,"0,69",Permanente
2022,"0,66",Mælketænder
2017,"0,64",Permanente
2016,"0,64",Permanente
2020,"0,63",Permanente
2019,"0,61",Permanente
2018,"0,60",Permanente
