AarID,Målvariabel,tand_status_text
2008,"1,73",Mælketænder
2010,"1,60",Mælketænder
2009,"1,52",Mælketænder
2011,"1,44",Mælketænder
2013,"1,33",Mælketænder
2019,"1,31",Mælketænder
2023,"1,29",Mælketænder
2021,"1,29",Mælketænder
2012,"1,28",Mælketænder
2014,"1,24",Mælketænder
2024,"1,15",Mælketænder
2015,"1,11",Mælketænder
2025,"1,09",Permanente
2017,"1,08",Mælketænder
2024,"1,01",Permanente
2025,"0,97",Mælketænder
2022,"0,94",Mælketænder
2009,"0,90",Permanente
2023,"0,89",Permanente
2008,"0,88",Permanente
2020,"0,87",Mælketænder
2018,"0,84",Mælketænder
2016,"0,83",Mælketænder
2022,"0,79",Permanente
2012,"0,76",Permanente
2011,"0,76",Permanente
2017,"0,75",Permanente
2015,"0,75",Permanente
2013,"0,74",Permanente
2010,"0,66",Permanente
2014,"0,61",Permanente
2018,"0,58",Permanente
2021,"0,57",Permanente
2016,"0,42",Permanente
2020,"0,39",Permanente
2019,"0,37",Permanente
