AarID,Målvariabel,tand_status_text
2008,"1,53",Mælketænder
2009,"1,37",Mælketænder
2010,"1,24",Mælketænder
2008,"1,14",Permanente
2012,"1,12",Mælketænder
2010,"1,08",Permanente
2009,"1,02",Permanente
2019,"1,01",Mælketænder
2011,"1,01",Mælketænder
2013,"1,00",Mælketænder
2017,"0,96",Mælketænder
2013,"0,95",Permanente
2020,"0,93",Mælketænder
2014,"0,93",Mælketænder
2018,"0,91",Mælketænder
2016,"0,91",Permanente
2011,"0,90",Permanente
2023,"0,89",Mælketænder
2025,"0,88",Mælketænder
2016,"0,87",Mælketænder
2025,"0,87",Permanente
2024,"0,86",Mælketænder
2015,"0,85",Permanente
2021,"0,85",Mælketænder
2015,"0,85",Mælketænder
2024,"0,84",Permanente
2022,"0,84",Mælketænder
2014,"0,83",Permanente
2017,"0,78",Permanente
2020,"0,77",Permanente
2021,"0,74",Permanente
2012,"0,74",Permanente
2023,"0,72",Permanente
2019,"0,71",Permanente
2018,"0,69",Permanente
2022,"0,57",Permanente
