AarID,Målvariabel,tand_status_text
2008,"1,56",Mælketænder
2009,"1,43",Mælketænder
2011,"1,26",Mælketænder
2010,"1,26",Mælketænder
2012,"1,04",Mælketænder
2013,"1,00",Mælketænder
2016,"1,00",Mælketænder
2014,"0,96",Mælketænder
2018,"0,90",Mælketænder
2017,"0,88",Mælketænder
2015,"0,88",Mælketænder
2008,"0,86",Permanente
2023,"0,82",Mælketænder
2011,"0,81",Permanente
2025,"0,79",Mælketænder
2020,"0,79",Mælketænder
2010,"0,78",Permanente
2022,"0,77",Mælketænder
2009,"0,77",Permanente
2019,"0,76",Mælketænder
2012,"0,74",Permanente
2013,"0,74",Permanente
2021,"0,73",Mælketænder
2016,"0,73",Permanente
2015,"0,69",Permanente
2024,"0,68",Mælketænder
2014,"0,66",Permanente
2025,"0,63",Permanente
2024,"0,63",Permanente
2018,"0,60",Permanente
2017,"0,57",Permanente
2019,"0,53",Permanente
2020,"0,53",Permanente
2022,"0,51",Permanente
2021,"0,51",Permanente
2023,"0,48",Permanente
