AarID,Målvariabel,tand_status_text
2008,"1,17",Mælketænder
2009,"1,15",Mælketænder
2016,"1,10",Mælketænder
2010,"1,05",Mælketænder
2017,"1,03",Mælketænder
2020,"0,99",Mælketænder
2018,"0,98",Mælketænder
2019,"0,97",Mælketænder
2011,"0,96",Mælketænder
2012,"0,94",Mælketænder
2015,"0,90",Mælketænder
2014,"0,88",Mælketænder
2023,"0,88",Mælketænder
2025,"0,87",Permanente
2024,"0,86",Permanente
2009,"0,86",Permanente
2024,"0,86",Mælketænder
2011,"0,86",Permanente
2016,"0,85",Permanente
2013,"0,85",Mælketænder
2012,"0,85",Permanente
2023,"0,84",Permanente
2010,"0,84",Permanente
2008,"0,83",Permanente
2022,"0,82",Mælketænder
2025,"0,82",Mælketænder
2014,"0,81",Permanente
2021,"0,81",Mælketænder
2013,"0,80",Permanente
2017,"0,80",Permanente
2015,"0,79",Permanente
2020,"0,74",Permanente
2018,"0,72",Permanente
2021,"0,72",Permanente
2022,"0,71",Permanente
2019,"0,67",Permanente
