AarID,Målvariabel,tand_status_text
2025,"1,70",Mælketænder
2008,"1,46",Mælketænder
2024,"1,41",Mælketænder
2025,"1,35",Permanente
2009,"1,22",Mælketænder
2023,"1,20",Mælketænder
2010,"1,18",Mælketænder
2011,"1,15",Mælketænder
2022,"1,14",Mælketænder
2020,"1,13",Mælketænder
2013,"1,12",Mælketænder
2009,"1,12",Permanente
2011,"1,10",Permanente
2024,"1,08",Permanente
2012,"1,08",Permanente
2010,"1,06",Permanente
2008,"1,04",Permanente
2012,"1,02",Mælketænder
2014,"0,99",Mælketænder
2021,"0,98",Mælketænder
2013,"0,98",Permanente
2016,"0,92",Mælketænder
2015,"0,91",Mælketænder
2020,"0,90",Permanente
2019,"0,90",Mælketænder
2014,"0,90",Permanente
2017,"0,89",Mælketænder
2021,"0,88",Permanente
2022,"0,85",Permanente
2018,"0,82",Mælketænder
2018,"0,77",Permanente
2015,"0,77",Permanente
2023,"0,75",Permanente
2019,"0,67",Permanente
2016,"0,64",Permanente
2017,"0,64",Permanente
