AarID,Målvariabel,tand_status_text
2008,"0,97",Mælketænder
2009,"0,89",Mælketænder
2010,"0,72",Mælketænder
2011,"0,69",Mælketænder
2018,"0,64",Mælketænder
2017,"0,62",Mælketænder
2008,"0,62",Permanente
2012,"0,61",Mælketænder
2016,"0,61",Mælketænder
2019,"0,61",Mælketænder
2025,"0,59",Permanente
2013,"0,55",Mælketænder
2015,"0,55",Mælketænder
2009,"0,54",Permanente
2020,"0,54",Mælketænder
2014,"0,51",Mælketænder
2010,"0,49",Permanente
2022,"0,49",Mælketænder
2021,"0,49",Mælketænder
2011,"0,45",Permanente
2024,"0,43",Permanente
2012,"0,42",Permanente
2022,"0,42",Permanente
2013,"0,41",Permanente
2017,"0,41",Permanente
2025,"0,40",Mælketænder
2018,"0,40",Permanente
2015,"0,40",Permanente
2019,"0,40",Permanente
2024,"0,39",Mælketænder
2020,"0,38",Permanente
2016,"0,38",Permanente
2023,"0,37",Mælketænder
2014,"0,36",Permanente
2021,"0,35",Permanente
2023,"0,29",Permanente
