AarID,Målvariabel,tand_status_text
2008,"1,26",Mælketænder
2023,"1,15",Mælketænder
2024,"1,11",Mælketænder
2009,"1,09",Mælketænder
2010,"1,05",Mælketænder
2025,"1,01",Mælketænder
2019,"0,94",Mælketænder
2011,"0,91",Mælketænder
2020,"0,89",Mælketænder
2022,"0,88",Mælketænder
2012,"0,87",Mælketænder
2016,"0,85",Mælketænder
2014,"0,84",Mælketænder
2013,"0,83",Mælketænder
2018,"0,81",Mælketænder
2017,"0,80",Mælketænder
2021,"0,76",Mælketænder
2015,"0,69",Mælketænder
2010,"0,59",Permanente
2008,"0,57",Permanente
2016,"0,55",Permanente
2009,"0,54",Permanente
2013,"0,50",Permanente
2012,"0,49",Permanente
2011,"0,48",Permanente
2017,"0,45",Permanente
2015,"0,43",Permanente
2019,"0,42",Permanente
2014,"0,42",Permanente
2021,"0,41",Permanente
2020,"0,39",Permanente
2023,"0,36",Permanente
2024,"0,35",Permanente
2018,"0,33",Permanente
2025,"0,33",Permanente
2022,"0,33",Permanente
