AarID,Målvariabel,tand_status_text
2008,"1,57",Mælketænder
2025,"1,54",Mælketænder
2022,"1,51",Mælketænder
2023,"1,48",Mælketænder
2024,"1,47",Mælketænder
2021,"1,46",Mælketænder
2025,"1,43",Permanente
2008,"1,36",Permanente
2009,"1,33",Permanente
2009,"1,33",Mælketænder
2015,"1,25",Mælketænder
2012,"1,22",Mælketænder
2011,"1,20",Mælketænder
2020,"1,18",Mælketænder
2010,"1,18",Permanente
2010,"1,17",Mælketænder
2012,"1,16",Permanente
2013,"1,16",Mælketænder
2018,"1,15",Mælketænder
2014,"1,11",Mælketænder
2016,"1,11",Mælketænder
2019,"1,08",Mælketænder
2017,"1,00",Mælketænder
2024,"0,98",Permanente
2015,"0,97",Permanente
2011,"0,89",Permanente
2013,"0,88",Permanente
2018,"0,88",Permanente
2016,"0,86",Permanente
2020,"0,86",Permanente
2023,"0,86",Permanente
2019,"0,86",Permanente
2017,"0,78",Permanente
2022,"0,77",Permanente
2014,"0,76",Permanente
2021,"0,73",Permanente
