AarID,Målvariabel,tand_status_text
2008,"1,93",Mælketænder
2009,"1,87",Mælketænder
2010,"1,82",Mælketænder
2011,"1,62",Mælketænder
2012,"1,55",Mælketænder
2013,"1,40",Mælketænder
2014,"1,29",Mælketænder
2015,"1,28",Mælketænder
2016,"1,23",Mælketænder
2017,"1,22",Mælketænder
2018,"1,14",Mælketænder
2020,"1,12",Mælketænder
2008,"1,07",Permanente
2019,"1,05",Mælketænder
2009,"1,05",Permanente
2010,"1,02",Permanente
2022,"0,96",Mælketænder
2021,"0,95",Mælketænder
2023,"0,95",Mælketænder
2011,"0,92",Permanente
2012,"0,89",Permanente
2024,"0,86",Mælketænder
2025,"0,84",Mælketænder
2013,"0,82",Permanente
2014,"0,71",Permanente
2025,"0,70",Permanente
2015,"0,65",Permanente
2024,"0,65",Permanente
2016,"0,63",Permanente
2017,"0,63",Permanente
2018,"0,59",Permanente
2020,"0,57",Permanente
2023,"0,56",Permanente
2019,"0,52",Permanente
2022,"0,49",Permanente
2021,"0,48",Permanente
