AarID,Målvariabel,tand_status_text
2008,"0,83",Mælketænder
2009,"0,75",Mælketænder
2010,"0,68",Mælketænder
2011,"0,60",Mælketænder
2012,"0,55",Mælketænder
2018,"0,52",Mælketænder
2025,"0,51",Permanente
2015,"0,50",Mælketænder
2013,"0,49",Mælketænder
2024,"0,49",Mælketænder
2016,"0,48",Mælketænder
2024,"0,47",Permanente
2023,"0,47",Mælketænder
2009,"0,47",Permanente
2025,"0,46",Mælketænder
2014,"0,46",Mælketænder
2022,"0,46",Mælketænder
2019,"0,45",Mælketænder
2020,"0,45",Mælketænder
2017,"0,44",Mælketænder
2008,"0,44",Permanente
2010,"0,43",Permanente
2012,"0,43",Permanente
2021,"0,42",Mælketænder
2011,"0,41",Permanente
2023,"0,38",Permanente
2013,"0,34",Permanente
2022,"0,33",Permanente
2014,"0,33",Permanente
2016,"0,32",Permanente
2015,"0,32",Permanente
2020,"0,30",Permanente
2019,"0,29",Permanente
2017,"0,29",Permanente
2018,"0,29",Permanente
2021,"0,28",Permanente
