AarID,Målvariabel,tand_status_text
2020,"1,07",Mælketænder
2013,"1,04",Mælketænder
2012,"1,01",Mælketænder
2023,"1,01",Mælketænder
2011,"0,95",Mælketænder
2021,"0,93",Mælketænder
2024,"0,92",Mælketænder
2014,"0,92",Mælketænder
2016,"0,91",Mælketænder
2008,"0,90",Permanente
2025,"0,87",Mælketænder
2015,"0,87",Mælketænder
2017,"0,87",Mælketænder
2011,"0,85",Permanente
2025,"0,82",Permanente
2019,"0,81",Mælketænder
2010,"0,80",Permanente
2022,"0,79",Mælketænder
2018,"0,78",Mælketænder
2012,"0,77",Permanente
2009,"0,76",Permanente
2008,"0,73",Mælketænder
2013,"0,68",Permanente
2014,"0,65",Permanente
2015,"0,65",Permanente
2021,"0,59",Permanente
2023,"0,59",Permanente
2024,"0,57",Permanente
2016,"0,57",Permanente
2020,"0,57",Permanente
2010,"0,54",Mælketænder
2018,"0,53",Permanente
2009,"0,53",Mælketænder
2017,"0,52",Permanente
2022,"0,46",Permanente
2019,"0,45",Permanente
