AarID,Målvariabel,tand_status_text
2008,"0,91",Mælketænder
2009,"0,88",Mælketænder
2010,"0,82",Mælketænder
2011,"0,72",Mælketænder
2015,"0,69",Mælketænder
2012,"0,68",Mælketænder
2014,"0,67",Mælketænder
2017,"0,66",Mælketænder
2016,"0,66",Mælketænder
2019,"0,65",Mælketænder
2013,"0,65",Mælketænder
2018,"0,62",Mælketænder
2008,"0,59",Permanente
2020,"0,59",Mælketænder
2009,"0,58",Permanente
2010,"0,55",Permanente
2011,"0,54",Permanente
2025,"0,51",Permanente
2012,"0,51",Permanente
2023,"0,49",Mælketænder
2024,"0,48",Mælketænder
2022,"0,48",Mælketænder
2013,"0,48",Permanente
2014,"0,47",Permanente
2017,"0,46",Permanente
2015,"0,45",Permanente
2020,"0,45",Permanente
2021,"0,45",Mælketænder
2018,"0,43",Permanente
2019,"0,42",Permanente
2016,"0,41",Permanente
2023,"0,40",Permanente
2025,"0,40",Mælketænder
2024,"0,37",Permanente
2022,"0,36",Permanente
2021,"0,36",Permanente
