AarID,Målvariabel,tand_status_text
2009,"0,95",Mælketænder
2008,"0,94",Permanente
2008,"0,94",Mælketænder
2009,"0,88",Permanente
2010,"0,81",Permanente
2010,"0,81",Mælketænder
2011,"0,80",Permanente
2014,"0,75",Mælketænder
2016,"0,74",Mælketænder
2014,"0,72",Permanente
2011,"0,72",Mælketænder
2018,"0,72",Mælketænder
2012,"0,67",Mælketænder
2023,"0,66",Mælketænder
2015,"0,66",Mælketænder
2025,"0,66",Mælketænder
2019,"0,65",Mælketænder
2013,"0,64",Permanente
2024,"0,64",Mælketænder
2013,"0,64",Mælketænder
2017,"0,62",Mælketænder
2025,"0,60",Permanente
2018,"0,58",Permanente
2020,"0,58",Mælketænder
2016,"0,56",Permanente
2012,"0,54",Permanente
2020,"0,53",Permanente
2024,"0,53",Permanente
2015,"0,52",Permanente
2022,"0,51",Mælketænder
2017,"0,49",Permanente
2023,"0,49",Permanente
2021,"0,46",Mælketænder
2019,"0,42",Permanente
2022,"0,40",Permanente
2021,"0,28",Permanente
