AarID,Målvariabel,tand_status_text
2020,"1,25",Mælketænder
2022,"1,23",Mælketænder
2024,"1,02",Mælketænder
2009,"0,99",Mælketænder
2010,"0,97",Mælketænder
2008,"0,95",Mælketænder
2023,"0,94",Mælketænder
2011,"0,92",Mælketænder
2025,"0,91",Mælketænder
2012,"0,89",Mælketænder
2018,"0,85",Mælketænder
2021,"0,84",Mælketænder
2013,"0,84",Mælketænder
2019,"0,74",Mælketænder
2016,"0,74",Mælketænder
2014,"0,73",Mælketænder
2025,"0,71",Permanente
2015,"0,70",Mælketænder
2024,"0,70",Permanente
2017,"0,68",Mælketænder
2011,"0,43",Permanente
2023,"0,42",Permanente
2010,"0,42",Permanente
2008,"0,40",Permanente
2009,"0,39",Permanente
2013,"0,38",Permanente
2012,"0,38",Permanente
2022,"0,36",Permanente
2020,"0,35",Permanente
2015,"0,33",Permanente
2018,"0,32",Permanente
2014,"0,31",Permanente
2017,"0,30",Permanente
2021,"0,28",Permanente
2016,"0,28",Permanente
2019,"0,22",Permanente
