AarID,Målvariabel,tand_status_text
2008,"2,05",Mælketænder
2009,"1,95",Mælketænder
2010,"1,87",Mælketænder
2011,"1,78",Mælketænder
2012,"1,48",Mælketænder
2014,"1,47",Mælketænder
2013,"1,39",Mælketænder
2015,"1,30",Mælketænder
2016,"1,26",Mælketænder
2008,"1,20",Permanente
2009,"1,17",Permanente
2020,"1,17",Mælketænder
2017,"1,16",Mælketænder
2018,"1,11",Mælketænder
2011,"1,09",Permanente
2023,"1,09",Mælketænder
2019,"1,08",Mælketænder
2021,"1,03",Mælketænder
2024,"1,03",Mælketænder
2022,"1,02",Mælketænder
2025,"1,00",Permanente
2012,"0,97",Permanente
2025,"0,96",Mælketænder
2013,"0,95",Permanente
2016,"0,89",Permanente
2014,"0,86",Permanente
2017,"0,86",Permanente
2020,"0,84",Permanente
2010,"0,83",Permanente
2015,"0,83",Permanente
2018,"0,81",Permanente
2019,"0,71",Permanente
2024,"0,71",Permanente
2021,"0,71",Permanente
2023,"0,65",Permanente
2022,"0,65",Permanente
