AarID,Målvariabel,tand_status_text
2008,"1,20",Mælketænder
2009,"1,19",Mælketænder
2010,"1,11",Mælketænder
2011,"1,10",Mælketænder
2012,"1,02",Mælketænder
2008,"0,96",Permanente
2010,"0,94",Permanente
2011,"0,91",Permanente
2009,"0,90",Permanente
2013,"0,81",Mælketænder
2012,"0,81",Permanente
2025,"0,81",Permanente
2024,"0,75",Mælketænder
2015,"0,74",Mælketænder
2016,"0,74",Mælketænder
2014,"0,73",Mælketænder
2025,"0,72",Mælketænder
2024,"0,71",Permanente
2013,"0,58",Permanente
2017,"0,57",Permanente
2018,"0,57",Permanente
2023,"0,55",Mælketænder
2017,"0,53",Mælketænder
2019,"0,53",Mælketænder
2018,"0,53",Mælketænder
2020,"0,53",Permanente
2014,"0,52",Permanente
2022,"0,52",Permanente
2019,"0,51",Permanente
2016,"0,51",Permanente
2021,"0,51",Mælketænder
2022,"0,51",Mælketænder
2021,"0,50",Permanente
2015,"0,50",Permanente
2020,"0,50",Mælketænder
2023,"0,49",Permanente
