AarID,Målvariabel,tand_status_text
2008,"1,24",Mælketænder
2009,"1,15",Mælketænder
2010,"1,01",Mælketænder
2008,"0,99",Permanente
2011,"0,98",Mælketænder
2009,"0,96",Permanente
2012,"0,92",Mælketænder
2010,"0,92",Permanente
2011,"0,89",Permanente
2012,"0,84",Permanente
2013,"0,82",Mælketænder
2014,"0,80",Mælketænder
2013,"0,79",Permanente
2015,"0,78",Mælketænder
2016,"0,76",Mælketænder
2017,"0,75",Mælketænder
2014,"0,74",Permanente
2020,"0,71",Mælketænder
2018,"0,70",Mælketænder
2019,"0,68",Mælketænder
2022,"0,68",Mælketænder
2021,"0,66",Mælketænder
2023,"0,65",Mælketænder
2024,"0,64",Mælketænder
2015,"0,64",Permanente
2025,"0,61",Mælketænder
2025,"0,61",Permanente
2016,"0,60",Permanente
2017,"0,56",Permanente
2024,"0,55",Permanente
2018,"0,53",Permanente
2020,"0,53",Permanente
2023,"0,51",Permanente
2019,"0,50",Permanente
2021,"0,49",Permanente
2022,"0,49",Permanente
