AarID,Målvariabel,tand_status_text
2008,"1,48",Mælketænder
2009,"1,31",Mælketænder
2010,"1,09",Mælketænder
2012,"0,97",Mælketænder
2012,"0,94",Permanente
2008,"0,94",Permanente
2011,"0,92",Mælketænder
2009,"0,89",Permanente
2020,"0,86",Mælketænder
2013,"0,86",Mælketænder
2011,"0,85",Permanente
2015,"0,85",Mælketænder
2017,"0,82",Mælketænder
2010,"0,80",Permanente
2014,"0,79",Mælketænder
2023,"0,79",Mælketænder
2019,"0,79",Mælketænder
2016,"0,79",Mælketænder
2022,"0,77",Mælketænder
2021,"0,75",Mælketænder
2018,"0,73",Mælketænder
2013,"0,72",Permanente
2024,"0,71",Mælketænder
2025,"0,70",Permanente
2014,"0,69",Permanente
2025,"0,67",Mælketænder
2015,"0,66",Permanente
2024,"0,66",Permanente
2016,"0,59",Permanente
2023,"0,54",Permanente
2017,"0,52",Permanente
2020,"0,50",Permanente
2021,"0,48",Permanente
2022,"0,48",Permanente
2019,"0,48",Permanente
2018,"0,46",Permanente
