AarID,Målvariabel,tand_status_text
2008,"1,40",Mælketænder
2008,"1,30",Permanente
2009,"1,29",Mælketænder
2009,"1,28",Permanente
2010,"1,15",Mælketænder
2010,"1,15",Permanente
2011,"1,03",Permanente
2011,"1,02",Mælketænder
2025,"0,96",Permanente
2012,"0,95",Mælketænder
2013,"0,91",Permanente
2012,"0,91",Permanente
2018,"0,90",Mælketænder
2017,"0,88",Mælketænder
2013,"0,87",Mælketænder
2019,"0,86",Mælketænder
2024,"0,85",Permanente
2020,"0,85",Mælketænder
2014,"0,84",Mælketænder
2016,"0,83",Mælketænder
2015,"0,83",Mælketænder
2014,"0,83",Permanente
2023,"0,81",Mælketænder
2022,"0,80",Mælketænder
2015,"0,76",Permanente
2016,"0,76",Permanente
2024,"0,75",Mælketænder
2025,"0,75",Mælketænder
2017,"0,75",Permanente
2021,"0,73",Mælketænder
2023,"0,71",Permanente
2020,"0,68",Permanente
2019,"0,64",Permanente
2022,"0,61",Permanente
2018,"0,61",Permanente
2021,"0,60",Permanente
