AarID,Målvariabel,tand_status_text
2008,"1,73",Mælketænder
2009,"1,63",Mælketænder
2010,"1,48",Mælketænder
2008,"1,42",Permanente
2009,"1,39",Permanente
2010,"1,37",Permanente
2011,"1,36",Mælketænder
2011,"1,24",Permanente
2012,"1,23",Mælketænder
2012,"1,16",Permanente
2013,"1,10",Mælketænder
2015,"1,09",Mælketænder
2016,"1,08",Mælketænder
2014,"1,07",Mælketænder
2017,"1,04",Mælketænder
2013,"1,00",Permanente
2018,"1,00",Mælketænder
2020,"0,96",Mælketænder
2019,"0,92",Mælketænder
2022,"0,92",Mælketænder
2014,"0,92",Permanente
2021,"0,90",Mælketænder
2023,"0,90",Mælketænder
2015,"0,90",Permanente
2025,"0,88",Permanente
2024,"0,88",Mælketænder
2025,"0,83",Mælketænder
2016,"0,81",Permanente
2017,"0,77",Permanente
2024,"0,73",Permanente
2018,"0,69",Permanente
2019,"0,65",Permanente
2020,"0,64",Permanente
2023,"0,62",Permanente
2022,"0,61",Permanente
2021,"0,60",Permanente
