AarID,Målvariabel,tand_status_text
2008,"1,42",Mælketænder
2009,"1,36",Mælketænder
2008,"1,26",Permanente
2010,"1,24",Mælketænder
2009,"1,23",Permanente
2011,"1,18",Mælketænder
2010,"1,15",Permanente
2011,"1,11",Permanente
2012,"1,11",Mælketænder
2013,"1,00",Mælketænder
2012,"0,99",Permanente
2016,"0,98",Mælketænder
2017,"0,96",Mælketænder
2014,"0,95",Mælketænder
2015,"0,94",Mælketænder
2018,"0,92",Mælketænder
2013,"0,90",Permanente
2019,"0,88",Mælketænder
2020,"0,87",Mælketænder
2014,"0,86",Permanente
2022,"0,85",Mælketænder
2023,"0,85",Mælketænder
2021,"0,83",Mælketænder
2024,"0,82",Mælketænder
2025,"0,80",Mælketænder
2015,"0,79",Permanente
2016,"0,79",Permanente
2025,"0,75",Permanente
2017,"0,72",Permanente
2018,"0,68",Permanente
2019,"0,66",Permanente
2020,"0,62",Permanente
2023,"0,59",Permanente
2021,"0,59",Permanente
2022,"0,57",Permanente
2024,"0,57",Permanente
