AarID,Målvariabel,tand_status_text
2008,"1,63",Mælketænder
2009,"1,56",Mælketænder
2009,"1,46",Permanente
2008,"1,44",Permanente
2010,"1,41",Mælketænder
2011,"1,39",Permanente
2011,"1,31",Mælketænder
2010,"1,29",Permanente
2012,"1,28",Mælketænder
2013,"1,21",Mælketænder
2012,"1,19",Permanente
2014,"1,17",Mælketænder
2015,"1,17",Mælketænder
2017,"1,12",Mælketænder
2016,"1,10",Mælketænder
2025,"1,10",Permanente
2013,"1,10",Permanente
2022,"1,10",Mælketænder
2023,"1,09",Mælketænder
2024,"1,08",Mælketænder
2019,"1,08",Mælketænder
2018,"1,07",Mælketænder
2020,"1,07",Mælketænder
2014,"1,04",Permanente
2025,"1,03",Mælketænder
2024,"1,02",Permanente
2016,"0,99",Permanente
2021,"0,98",Mælketænder
2015,"0,96",Permanente
2023,"0,91",Permanente
2017,"0,86",Permanente
2018,"0,84",Permanente
2022,"0,82",Permanente
2020,"0,82",Permanente
2021,"0,78",Permanente
2019,"0,77",Permanente
