AarID,Målvariabel,tand_status_text
2008,"1,73",Mælketænder
2009,"1,47",Mælketænder
2010,"1,19",Mælketænder
2011,"1,16",Mælketænder
2009,"1,13",Permanente
2008,"1,08",Permanente
2010,"1,06",Permanente
2012,"1,02",Mælketænder
2012,"1,01",Permanente
2011,"0,97",Permanente
2013,"0,95",Mælketænder
2016,"0,95",Mælketænder
2017,"0,94",Mælketænder
2015,"0,93",Mælketænder
2014,"0,93",Mælketænder
2020,"0,93",Mælketænder
2025,"0,92",Mælketænder
2024,"0,92",Mælketænder
2013,"0,92",Permanente
2022,"0,91",Mælketænder
2025,"0,91",Permanente
2023,"0,90",Mælketænder
2018,"0,86",Mælketænder
2021,"0,85",Mælketænder
2019,"0,83",Mælketænder
2024,"0,78",Permanente
2014,"0,78",Permanente
2015,"0,76",Permanente
2016,"0,73",Permanente
2017,"0,71",Permanente
2020,"0,70",Permanente
2023,"0,68",Permanente
2022,"0,66",Permanente
2021,"0,65",Permanente
2018,"0,63",Permanente
2019,"0,62",Permanente
