AarID,Målvariabel,tand_status_text
2008,"1,61",Mælketænder
2009,"1,57",Mælketænder
2010,"1,48",Mælketænder
2011,"1,33",Mælketænder
2008,"1,30",Permanente
2009,"1,23",Permanente
2012,"1,21",Mælketænder
2013,"1,16",Mælketænder
2010,"1,13",Permanente
2025,"1,12",Mælketænder
2014,"1,11",Mælketænder
2016,"1,09",Mælketænder
2011,"1,04",Permanente
2015,"1,02",Mælketænder
2012,"1,02",Permanente
2020,"1,01",Mælketænder
2024,"1,01",Mælketænder
2022,"1,01",Mælketænder
2018,"1,00",Mælketænder
2023,"1,00",Mælketænder
2019,"0,97",Mælketænder
2017,"0,97",Mælketænder
2021,"0,93",Mælketænder
2013,"0,90",Permanente
2014,"0,81",Permanente
2015,"0,77",Permanente
2020,"0,75",Permanente
2017,"0,72",Permanente
2019,"0,71",Permanente
2016,"0,71",Permanente
2018,"0,70",Permanente
2022,"0,65",Permanente
2021,"0,65",Permanente
2024,"0,64",Permanente
2025,"0,63",Permanente
2023,"0,61",Permanente
