AarID,Målvariabel,tand_status_text
2008,"1,59",Mælketænder
2009,"1,52",Mælketænder
2010,"1,45",Mælketænder
2009,"1,39",Permanente
2011,"1,39",Mælketænder
2008,"1,38",Permanente
2010,"1,34",Permanente
2012,"1,29",Mælketænder
2011,"1,25",Permanente
2012,"1,24",Permanente
2013,"1,18",Mælketænder
2014,"1,15",Mælketænder
2015,"1,13",Mælketænder
2020,"1,12",Mælketænder
2013,"1,10",Permanente
2016,"1,08",Mælketænder
2017,"1,06",Mælketænder
2019,"1,02",Mælketænder
2014,"1,00",Permanente
2018,"1,00",Mælketænder
2022,"0,99",Mælketænder
2025,"0,98",Permanente
2021,"0,97",Mælketænder
2015,"0,96",Permanente
2023,"0,94",Mælketænder
2024,"0,92",Mælketænder
2025,"0,91",Mælketænder
2016,"0,87",Permanente
2024,"0,87",Permanente
2017,"0,82",Permanente
2018,"0,80",Permanente
2023,"0,75",Permanente
2019,"0,75",Permanente
2020,"0,74",Permanente
2022,"0,73",Permanente
2021,"0,72",Permanente
