AarID,Målvariabel,tand_status_text
2008,"1,88",Mælketænder
2009,"1,76",Permanente
2008,"1,74",Permanente
2009,"1,73",Mælketænder
2010,"1,69",Permanente
2010,"1,63",Mælketænder
2011,"1,58",Permanente
2011,"1,49",Mælketænder
2012,"1,47",Permanente
2013,"1,40",Permanente
2012,"1,36",Mælketænder
2013,"1,29",Mælketænder
2014,"1,28",Mælketænder
2014,"1,26",Permanente
2015,"1,25",Mælketænder
2016,"1,19",Mælketænder
2015,"1,16",Permanente
2017,"1,14",Mælketænder
2020,"1,12",Mælketænder
2018,"1,10",Mælketænder
2016,"1,07",Permanente
2019,"1,06",Mælketænder
2023,"1,04",Mælketænder
2025,"0,99",Mælketænder
2024,"0,97",Mælketænder
2021,"0,94",Mælketænder
2022,"0,93",Mælketænder
2018,"0,91",Permanente
2017,"0,90",Permanente
2025,"0,89",Permanente
2020,"0,83",Permanente
2019,"0,81",Permanente
2024,"0,71",Permanente
2021,"0,70",Permanente
2022,"0,64",Permanente
2023,"0,61",Permanente
