AarID,Målvariabel,tand_status_text
2009,"1,40",Mælketænder
2010,"1,32",Mælketænder
2011,"1,30",Mælketænder
2012,"1,27",Mælketænder
2008,"1,27",Mælketænder
2012,"1,17",Permanente
2013,"1,11",Mælketænder
2010,"1,10",Permanente
2011,"1,08",Permanente
2009,"1,07",Permanente
2008,"1,05",Permanente
2013,"1,05",Permanente
2014,"1,04",Mælketænder
2015,"1,00",Mælketænder
2014,"0,97",Permanente
2016,"0,95",Mælketænder
2017,"0,94",Mælketænder
2020,"0,92",Mælketænder
2025,"0,89",Permanente
2015,"0,88",Permanente
2018,"0,87",Mælketænder
2016,"0,86",Permanente
2019,"0,85",Mælketænder
2022,"0,84",Mælketænder
2021,"0,83",Mælketænder
2024,"0,81",Permanente
2025,"0,81",Mælketænder
2017,"0,79",Permanente
2020,"0,79",Permanente
2023,"0,79",Permanente
2023,"0,78",Mælketænder
2024,"0,77",Mælketænder
2019,"0,72",Permanente
2018,"0,71",Permanente
2022,"0,71",Permanente
2021,"0,63",Permanente
