AarID,Målvariabel,tand_status_text
2010,"1,10",Mælketænder
2015,"1,00",Mælketænder
2009,"0,99",Mælketænder
2008,"0,99",Mælketænder
2011,"0,93",Mælketænder
2012,"0,91",Mælketænder
2013,"0,88",Mælketænder
2016,"0,88",Mælketænder
2010,"0,87",Permanente
2017,"0,87",Mælketænder
2015,"0,84",Permanente
2014,"0,83",Mælketænder
2018,"0,81",Mælketænder
2025,"0,79",Permanente
2025,"0,78",Mælketænder
2024,"0,76",Mælketænder
2013,"0,75",Permanente
2009,"0,75",Permanente
2019,"0,75",Mælketænder
2016,"0,74",Permanente
2011,"0,74",Permanente
2012,"0,73",Permanente
2023,"0,71",Mælketænder
2020,"0,71",Mælketænder
2021,"0,71",Mælketænder
2024,"0,70",Permanente
2014,"0,69",Permanente
2008,"0,68",Permanente
2022,"0,67",Mælketænder
2017,"0,62",Permanente
2018,"0,62",Permanente
2020,"0,61",Permanente
2019,"0,55",Permanente
2023,"0,54",Permanente
2021,"0,50",Permanente
2022,"0,48",Permanente
